年,月,日,標題,內容,報社
2019,3,1,228看《幸福綠皮書》 侯友宜感動盼多點愛與包容,勇奪奧斯卡最佳影片等3項大獎的電影《幸福綠皮書》全台票房衝到2650萬，新北市市長侯友宜選在228和平紀念日，邀請各局處首長一同觀賞該片，他表示：「這部電影描述人與人之間，不要有藩籬，不要有階級對立，而要帶著團結的力量往前進，用更多的愛跟包容來看待彼此，在228和平紀念日這樣有意義的日子欣賞《幸福綠皮書》，讓人特別感動。」該片在台上映一個月，全台映演廳數由最初的42間戲院至今擴增為60間戲院，電影以幽默詼諧的手法，描述黑人鋼琴師與白人保鑣彼此之間如何打破文化、膚色或階級藩籬的故事，所傳遞的正向力量更讓本片成為許多媒體推薦今年必看電影之一。馬赫夏拉阿里（Mahershala Ali）以本片再次拿下奧斯卡最佳男配角，他詮釋角色的精湛演技也讓觀眾動容，他說：「傾聽、包容與同理心才能化解隔閡，放下本位主義才能接受別人的想法，也才能獲得彼此的認同。」盼片中傳達的理念「愛、包容與尊重」引起觀眾共鳴。該片全台熱映中。 ,中國時報
2019,2,26,《幸福綠皮書》爭議聲中奪最佳影片 又輸給開車的 史派克李氣炸離席,第91屆奧斯卡獎於台灣時間25日揭曉，《幸福綠皮書》成功在最佳影片獎擊敗聲勢在伯仲之間的《羅馬》，並拿下男配角與原創劇本共3大獎。《綠皮書》描繪黑人鋼琴家唐薛利（Don Shirley）與其白人司機東尼立普（Tony Lip）在1960年代於美國種族歧視嚴重的南方進行巡演的故事，然而該片被唐薛利遺族批評是「謊言交響曲」，名黑人導演史派克李（Spike Lee）昨得知自己的《黑色黨徒》輸給《綠皮書》後，更氣到當場奪門而出！《綠皮書》理論上是部描繪黑人與白人在患難中放下歧見並成為朋友的故事，但批評者質疑《綠皮書》是不合時宜的「白人拯救者」故事，由維果莫天森（Viggo Mortensen）飾演的白人司機東尼，不僅多次幫「唐薛利」馬赫夏拉阿里（Mahershala Ali）飾演的黑人鋼琴家解圍，甚至還教導唐薛利該如何吃炸雞與欣賞黑人流行音樂。製作團隊素行不良片中唐薛利被描繪成與家人疏離、不懂黑人文化，遺族公開抨擊與事實不符，兩人間的關係更沒有片中描繪那樣親近，「只是雇主與職員的關係」。不只電影內容惹爭議，主要製作團隊也素行不良，該片劇本出自東尼立普的兒子尼克瓦勒隆加（Nick Vallelonga），他日前為2015年虛構目睹穆斯林在慶祝911事件的歧視言論公開道歉；而該片導演彼得法拉利（Peter Farrelly）也因執導《哈啦瑪莉》時，會故意露下體給演員看的性騷擾行為致歉。但最火上加油的，是法拉利昨在奪下最佳影片時，竟將最大功勞歸給維果莫天森：「沒有維果莫天森就沒有這部電影。」李嗨拿改編劇本獎史派克李（Spike Lee）昨以《黑色黨徒》奪下奧斯卡最佳改編劇本獎，是在影壇奮鬥逾30年首次拿下奧斯卡競賽獎項，上台時激動跳上頒獎人山繆傑克森（Samuel L. Jackson）身上，致詞時還忘情大爆粗口；但原本堪稱本屆最High咖的他，卻因在最佳影片獎敗給《綠皮書》暴跳如雷，沒等謝詞說完就奔出會場，在後台忿忿不平說自己好像在場邊看球，「但裁判誤判！」史派克李被認為是最被奧斯卡忽略的導演，昨終於得獎時全場起立為他鼓掌，他在台上興奮之情溢於言表，感謝被當成奴隸綁架到美國的先人們，尤其是自己活到百歲的祖母，存了50年的社會福利金，讓他能夠讀完紐約大學電影研究所，最後期盼大家能夠改正美國當下紛亂的政局，「我們會找回我們的愛與智慧，找回我們的人性。」原本喜形於色的史派克李，在聽到《綠皮書》得到最佳影片獎時，被目擊憤怒揮動雙手並破門而出，《黑色》與《綠皮書》都是相近年代中黑人受到歧視與暴力的真實故事，史派克李明顯輸得不服氣；《綠皮書》描繪白人保鑣開車載黑人音樂家巡迴，而他的1989年代表作《為所應為》，也在描繪黑人司機開車載白人雇主的《溫馨接送情》大放異彩的那屆奧斯卡上空手而回，史派克李自嘲：「每次有人開車載人，我就會輸！」。 ,中國時報
2019,2,26,兩屆最佳男配努力不讓他人恐懼 馬赫夏拉以微笑面對種族歧視,非裔美國男演員馬赫夏拉阿里（Mahershala Ali）憑《幸福綠皮書》拿下本屆奧斯卡最佳男配角，他上台感謝角色本尊牙買加裔美國鋼琴家唐薛利（Don Shirley），「為了捕捉薛利博士的本質，我把自己逼到盡頭，才得以反映薛利博士的人格。」他最感謝的是祖母，「她總告訴我如果一次不成功，就再試、再試，永遠要用正面的態度面對一切。」阿里2017年首憑《月光下的藍色男孩》奪下同獎，讓他繼丹佐華盛頓（Denzel Washington）後成為第2位拿下1座以上小金人的黑人演員。45歲的他從影26年，無論在《月光》或是《綠皮書》，都飾演在階級與種族中掙扎的角色。他生於基督徒家庭，20多歲轉信奉伊斯蘭教，姓氏從吉爾摩（Gilmore）改為阿里，就在他忙著處理母親與朋友的質疑時，911事件發生了，穆斯林被當成危險分子，幾次去機場他必須被另外安檢，名字列入FBI觀察名單，之後甚至被告知銀行帳戶出了問題，其實是資金被凍結。他不否認種族議題仍有討論空間，他舉自身例子，即使住在紐約多年，已刻意調整穿著方式，走在路上還是常有女性會刻意繞道而行避開他，在地鐵上與他同坐會趕緊把鑽戒轉向手掌內，「人們會對一位體型高大、皮膚黝黑的黑人做出的反應都讓我很沮喪，為了『保護自己』不讓其他人恐懼，我會刻意做一些事，好比服裝或是微笑。很多黑人都這樣做，因為多數人認為我們構成危險。」48歲的蕾吉娜金恩（Regina King）昨則以《藍色比爾街的沈默》首度入圍奧斯卡就拿下最佳女配角獎，成為繼薇歐拉戴維斯（ViolaDavis）和赫蕾貝莉（Halle Berry）後，第3位同時擁有艾美獎和奧斯卡榮譽的女星。 ,中國時報
2019,3,6,鋼鐵人幕後推手 鼓勵學子多發問, 奧斯卡科技成就獎得主科技部昨邀請馬萬鈞於台大校史館進行頂尖軟體創意設計及千里馬計畫經驗分享，並與科技部長陳良基現場座談。 首位獲得奧斯卡科學技術成就獎的台灣人馬萬鈞，昨受科技部邀請回台，在台大母校分享申請千里馬計畫開啟他的好萊塢之路。馬萬鈞勉勵年輕學子「多發問」，多接觸前輩、師長，這是他在美國學到最重要的事，「不懂裝懂才是最笨的」。現任Google軟體工程師的馬萬鈞，二〇〇八年自台大資工系畢業，期間先後獲得兩次國科會（現科技部）千里馬補助計畫（博士生及博士後）。科技部長陳良基表示，博士生申請千里馬計畫通過率約七成，博士後研究通過率也有四、五成。他鼓勵年輕人多善用政府資源出國看看，「行萬里路，可以激發更多潛能」，「整個宇宙都是我們遨遊之所在。」馬萬鈞曾協助阿凡達、鋼鐵人3等逾四十部好萊塢電影，打造視覺效果，以「基於球體上的偏振漸層光源」臉部捕捉特寫技術，為電影技術立下里程碑，上月更獲美國奧斯卡金像獎執委單位美國電影藝術與科學學院頒發科學技術成就獎，成為第一個獲此殊榮的台灣人。馬萬鈞分享，「勇於發問」以抓住機會，是他一路能夠受到許多貴人幫助的原因。馬萬鈞說，過程一定會有挫折，在學術界最常見的挫折就是投稿論文沒獲擷取，剛開始會為此感到難過，但久而久之就變成家常便飯，也許失敗是幫助自己成長的動力。陳良基在與馬萬鈞的對談中，詢問馬投身視覺特效領域的契機和台灣相關產業的發展的想法。馬萬鈞建議，影像處理作為近年的熱門產業，各國多已端出租稅補助政策，因此若主政者願意給予資源支持，將能帶來諸多有利幫助。陳良基回應，以台灣的分工，科技部只能從基礎研究來著力，若是稅制上的優惠，是屬於財政部、經濟部權責，應用面則需由文化部做整體規畫，其他部會再做配合。,聯合報
2019,3,3,看奧斯卡：重鍍的金獎、蛻變的產業,美國電影學院的奧斯卡金像獎年度頒獎典禮日前熱鬧落幕，一如往昔，有陳腔濫調，也有新招，有爆冷門，也強調族群議題，這都是意料中的戲碼。倒是原定主持人因對性傾向問題發言不當辭職，大會乾脆不設主持人，就像演奏室內樂不用指揮一樣讓典禮自走，時間減少了一小時，收視率反而是五年來首次回升。見微知著，這有如「重鍍」了奧斯卡金像獎，也彰顯美式消費性文化最重要的精神：重塑與再生。更重要的是，奧斯卡金像獎今年的得獎題材，也體現這個產業的蛻變。今年最大的蛻變是，本屆的電影都是「玩真的」，不再是科幻或奇幻掛帥。八部被提名最佳影片的電影中，有六部大片標榜的是「真實敘事」（業界稱之為biopic），或改編自真實故事。例如，《黑色黨徒》改編自一名黑人警察臥底三Ｋ黨，還當上地方黨部負責人的回憶錄；《波西米亞狂想曲》描繪「皇后搖滾樂團」主唱佛萊迪的人生掙扎；《幸福綠皮書》則是透過紐約市義裔白人司機兼保鑣的視角，反照天才型黑人鋼琴大師巡演美國南部在種族隔離的上世紀六〇年代所受到的歧視；《羅馬》是墨西哥大導演柯朗藉追憶童年時代的家裡幫佣，深入刻畫人性尊嚴的史詩級電影；《真寵》則是西方的《甄嬛傳》，講述十八世紀英國安妮女王的閨密與宮廷女官間的宮鬥。還有《為副不仁》，副總統一職一直是是美國政界的笑柄，戲謔者稱其為最大的芝麻綠豆小官。但別搞錯了，小布希總統的副手錢尼卻掌握實權，堪稱美國史上第一人。這六部強調真實的大片，占了被提名最佳影片數的四分之三。此一超高比例絕非巧合，引發之爭議也大於往昔。電影產業真的變了，因為世局也變了！近年在歐美，包括在台灣也一樣，「假消息」滿天飛到引發社會騷動，政治人物則藉機撻伐收割知名度，以便兌換成選票。世局如此嬗變，電影產業當然也要跟著蛻變。既然在現實生活中充斥「假新聞」（包括政府說假就是假的假新聞），為什麼電影不能逆向操作，轉而寫實逼真？故事不外真真假假：把真的弄成假的，把假的弄成真的，這本來就是電影產業的強項。但正派媒體並不是這樣幹：真的才可以報導。挖掘事實，區分真假，這是媒體的看家本領與從業倫理。但是，網路世界的來臨模糊了真假，也混淆電影與媒體的分際。奧斯卡頒獎之前，美國的政治評論者即注意到重量級媒體人，尤其是長於調查報導的佼佼者，紛紛投奔電影業。重鍍金獎的新銳高手，非網飛（Netflix）莫屬！它沒有好萊塢的DNA，出身一家網路科技公司，其絕活是利用串流顛覆以往的電影通路與放映模式。以前愛看電影的老牌影迷怎麼能想像，一部超級賣座的大片，票房資料居然是保密？網飛就偏不告訴你這個數據，它的電影進入院線放映，只是陪襯訂閱串流，用以取得競獎的資格。網飛營收龐大，卻尚無獲利。但沒關係，因為資本市場給予超高「本夢比」的評價，所以它可以四處砸重金，挖角原以挖掘封面故事為志業的媒體菁英，投效它的編劇團隊。代表第四權的新聞業就這麼重商轉型，舊媒體也就這樣重傷凋零。產業也好，世風也好，也就跟著蛻變了。網飛在本屆奧斯卡只是初試啼聲，即抱走四項大獎，揮軍金獎並志在必得絕對是它未來的最高策略。事實上，也有別的「咖」在摩拳擦掌，亞馬遜就絕對不甘落後。在掌控美國電商消費一半的市占率之後，它也進軍內容產業，而且它還「賣雲」。創辦人貝佐斯還併購華盛頓郵報，形成嫡系的側翼。長久以往，新聞業會娛樂化，娛樂業會政治化，那麼奧斯卡金像獎呢？小金人掉漆，重鍍就行了。,聯合報
2019,2,27,獅子王再度來台 戲迷爭搶前排票, 百老匯音樂劇「獅子王」從上周宣布來台演出到開賣，造成全民搶票轟動，暌違11年，有新劇迷，也有11年前欣賞過想再次回味的，本次巡演再次攻進小巨蛋，打造高規格舞台與觀賞場地，期望帶給觀眾一個難忘的夏季。「獅子王」首演至今已逾21年，是百老匯第三長壽音樂劇，為全球最受歡迎、最賣座的音樂劇。改編自1994年在動畫史上締造多項輝煌紀錄，並榮獲奧斯卡最佳原著音樂和最佳電影主題曲的迪士尼經典同名動畫片，在東尼獎最佳導演茱莉泰默帶領的頂尖團隊製作下，透過令人驚豔讚嘆的視覺特效、創意無限的舞台道具、撼動人心的音樂及生動逼真的非洲叢林及原野動物中展開。「獅子王」最精緻的地方，在於繁複的細節，手工面具的多樣。如成年辛巴和娜娜的面具將演員頭包覆住，搭配美麗的手製緊身戲服，同時，劇中每個角色的妝容都不同，為符合非洲文化，會依照部落屬性的差異，被賦予不同的妝容設計來代表不同的部落。更有不同方式的戲偶設計，如狐獴「丁滿」是日本木偶戲的技術，觀眾可同時看見戲偶與演員表情，而疣豬「彭彭」則是演員藏身於巨大戲偶中，細節設計讓不同的動物有符合牠的呈現方式，更顯得逼真。不同於一般音樂劇，透過歌聲、服裝、肢體外，更要觀察面具、演員表情與情緒，相互層疊後傳達出更細緻獨特的角色，這也是讓全球巡演的觀眾們無法抗拒爭先搶前方座位區的魅力所在。相關資訊可至寬宏售票查詢。,聯合報
2019,3,6,老皮嫩肉：幸福綠皮書的不幸（黃哲斌）,一、編導的先天包袱劇中，維果莫天森飾演的義裔司機，源自編劇瓦倫加父親「嘴皮東尼」的故事，東尼長期在高級夜店擔任保鑣，結識不少演藝圈大咖，包括法蘭克辛納屈。由於他八面玲瓏，攀緣走上演員路，在《教父》、《四海好傢伙》等黑幫電影裡，扮演二三線角色。東尼六年前去世，兒子據他生前講述，改寫為《幸福綠皮書》劇本。問題是，單方面的「口述歷史」，少了非裔鋼琴家唐雪利家族的另一面說法，埋伏了爭議地雷。二、種族議題的電影前輩談到《幸福綠皮書》，1989年的《溫馨接送情》常被挑出類比，兩者同樣獲頒最佳影片，同樣藉由司機與乘客的愛恨關係，濃縮影射黑白議題；差異在於，《溫馨接送情》的司機是非裔、僱主是白人老太太。然而，早在1958年的《逃獄驚魂》，就已巧妙處理此議題，薛尼鮑迪、東尼寇蒂斯飾演一對黑白囚犯，移監途中被銬在一起，因囚車失事而連袂逃亡，兩人從相互憎恨、不斷爆發衝突，最後化解歧見，攜手互助。在《民權法案》尚未頒布的年代，美國種族隔閡仍然嚴重，導演史丹利克拉瑪挑戰此一題材，相對勇氣十足，當年入圍最佳影片與導演，但都摃龜。九年後，克拉瑪又拍了經典名片《誰來晚餐》，同樣由薛尼鮑迪擔綱，當時他已是奧斯卡史上第一位黑人影帝。劇情主軸是白人女主角帶著非裔男友回家拜見父母，當年，黑白通婚在南方各州尚未合法，因此造成不小社會衝擊；然而，本片以愛情包裝尖銳議題，意外叫好叫座。有趣的是，整整五十年後，《逃出絕命鎮》端出同樣設定，但加入懸疑驚悚、逆轉情節，諷刺種族主義陰魂不散，與《誰來晚餐》一樣抱回最佳劇本獎。三、缺頁的《綠皮書》《幸福綠皮書》可惜之處，是輕輕帶過「綠皮書」的歷史意義。原名《黑人旅行者綠皮書》的手冊，首刷於1936年，當時，美國種族歧視嚴重，部分地區三K黨橫行，非裔美國人若不小心闖入，可能遭暴力相向，甚至喪命。因此，紐約一名郵務士格林，動念編輯一本手冊，詳列各州樂意接待有色人種的旅店、餐廳及商店。格林發動全美郵差，請他們調查並提供名單，再彙集成冊。手冊每年更新一次，從初版十頁左右，逐漸擴充到八十頁，每年約賣出一萬五千本，直到1967年停刊，幾乎是種族歧視的時代見證。《幸福綠皮書》聚焦兩名主角的公路旅程，並未深入挖掘這本手冊的傳奇，像是它如何開啟非裔美國人獨立創業的路途，讓他們敢於跨州商業旅行。因此，另一導演拍了紀錄片，考究它的幕後故事，片名是《綠皮書：通往自由的指引》。電影，有時是生命的碎屑，有時是歷史的回聲；《幸福綠皮書》流暢風趣、演員傑出，但它標榜基於史實，又涉及敏感政治題材，難免被嚴格檢視，若無法賦予足夠重量，「最佳影片」獎座反而變成不可承受的不幸。自由撰稿人,蘋果日報
2018,3,6,戴托羅給邊緣人的情書 《水底情深》不一樣又怎樣,《水底情深》是自2004年《魔戒三部曲：王者再臨》後，14年來首次奪下奧斯卡最佳影片的奇幻類型電影，在向來看輕類型電影的奧斯卡實屬難得。導演吉勒摩戴托羅（Guillermo del Toro）昨領取最佳影片獎時，將獎座獻給所有年輕的電影人，鼓勵他們勇於利用類型電影探討真實世界的議題，他興奮地說：「門就在這裡，踹開來就能進去！」「我不是怪物的粉絲，我是怪物的使徒、我是怪物的福音布道人。」戴托羅說自己要是上教堂，感興趣的絕對不是彩繪玻璃上的聖人，而是在建築角落不起眼的怪物雕像，「我很無法認同『正常』這個概念，對我來說很抽象。我認為那種完美是幾乎不可能達成的，但不完美卻是隨手可見。這就是為什麼我喜愛怪物的原因，它們象徵著我們應該接受並頌揚的那一面。」戴托羅自認無法直線思考，「不論是在藝術或是生活中，直線都是全然的霸道。」無法直接探索現實問題的他，只懂用奇幻鬼魅的世界去包藏世俗的議題，所以他藉《魔鬼銀爪》暗喻濫用藥物，用《羊男的迷宮》探討戰爭無情，《水底情深》則是對邊緣人的情書，希望藉該片傳達同理心的重要，要講一個野獸不必變回人形的《美女與野獸》故事。《水底情深》女主角莎莉霍金斯（Sally Hawkins）是無法說話的啞女，愛上被抓進軍事實驗室的魚人，她的鄰居是不被60年代社會接受的同志插畫家，最好的朋友則是種族隔離時代的黑人女性，每位角色都是常人眼中的瑕疵品，被迫因自己的不完美而接受被忽略、被歧視，但所謂的「怪物」也只不過是偏見的總和，戴托羅說：「愛上不完美才是完美的愛。」。 ,中國時報
2018,3,6,吉勒摩戴托羅 拍怪物斷開信仰枷鎖 體悟日本金繼哲學 大導擺脫童年陰影,導演吉勒摩戴托羅（Guillermo del Toro）執導的《水底情深》，在昨日揭曉的第90屆奧斯卡頒獎典禮上，奪下最佳影片、導演、藝術指導、原創配樂4項大獎，是本屆最大贏家。戴托羅領取最佳導演獎時強忍淚水，哽咽引用詹姆斯賈格納（James Cagney）在1942年電影《勝利之歌》的台詞感激地說：「我媽媽謝謝你、我爸爸謝謝你、我的兄弟姊妹謝謝你，我也謝謝你。」戴托羅至今拍過10部電影，每一部都常被視為難登大雅之堂的奇幻、恐怖、科幻片，他從小生長在虔誠的墨西哥天主教家庭，祖母認為他離經叛道，甚至數度替他進行驅魔儀式，作品主角總是幽靈、羊男、魚人、吸血鬼的戴托羅調皮笑說：「絕對沒有成功。」走出痛苦原諒祖母「我有一個很糟的童年，情緒上飽受摧殘。」戴托羅口中的悲慘童年，並非慘遭體罰或貧困無依，痛苦來源是傳統天主教的教條以及極度虔誠的祖母。他從小被灌輸墨西哥天主教獨特的殘酷血腥教義，因煉獄、原罪的概念長年身處驚恐，「我花了40年才從我生命中前8年的創傷中恢復。」戴托羅逐漸走出深植於心的痛苦與愧疚情緒後，也學會原諒祖母，「她灌輸給我很多的恐懼，那擊碎了我。」但戴托羅說：「日本有一種藝術與哲學的思維叫做『金繼』，就是把破碎的陶器用金來修復，我認為金繼就是做自己的關鍵，你不該期待毫髮無傷復原，而是該知道在你的裂痕間有珍貴的真金。」他對電影的看法，自然也充滿維多利亞式的陰森遐想，電影對他是如同吸血鬼般的存在，身為導演唯有無私奉獻精力與血淚，才能讓絕美的邪神從虛無中誕生，戴托羅苦笑說：「對我來說，我已經流過太多鮮血了。」大功告成隱退無憾「老實說，如果你現在告訴我：『吉勒摩，你應該在海邊買棟小屋、釣魚引退了。』我會毫無眷戀地走，在《水底情深》後、在我完成這一切之後已經滿足。」戴托羅笑說：「畢盡我已經拍了比我預期中還要多10部的電影。」。 ,中國時報
2018,3,9,男星遭言語霸凌    討《一個道歉》結果太威了,《你只欠我一個道歉》有精彩攻防戲，男主角卡梅爾巴沙以此片登上事業顛峰。卡梅爾巴沙出生於耶路撒冷的南方小城，自小對巴勒斯坦人遭受不公平待遇，感到忿忿不平；年輕氣盛時他是個典型文青，曾為爭取公民權益、參與街頭抗爭而遭政府逮捕入獄。出獄後，他才轉赴劇場界發展，因演出德國劇作家布萊希特話劇而聲名大噪，現以此片拿下影帝後，事業可謂登上顛峰。該片將於23日在台上映。 ,
2018,3,7,【自由副刊】【王丹專欄】宛如夢境,"""王丹也許是我多心了，但是我真的覺得好萊塢的人被川普刺激到了。現在的奧斯卡獎更加重視政治正確的部分，做為對川普的反抗。雖然有夠格的美學包裝，但是理念已經成為影評人的關注焦點。在這種情況下，《以你的名字呼喚我》雖然呼聲很高，但是僅僅得到一個最佳劇本改編獎，這實在讓我有點失望。我支持好萊塢對川普的反擊，但是我也希望好的電影仍舊能夠得到應有的榮譽。而《以你的名字呼喚我》一直是我心目中的最佳電影。這部改編自美國作家安德烈．艾席蒙（André Aciman，1951-）2007年同名原著小說的電影，走的完全是唯美路線，這在今天的電影世界已經不多見了，而正是因為如此，才更加彌足珍貴。我們看電影，除了受到心靈震撼之外，難道不是也希望得到美的浸潤嗎？況且，唯美也可以非常震撼人心，《以你的名字呼喚我》就是典型的例子。 電影的情節夢境一般地鬆散，背景也夢一般似有若無：1983年的夏天，義大利北部鄉間小鎮，十七歲的艾里歐（Elio），廿四歲的奧利佛（Oliver），短短六週的感情昇華，一生難忘的一段愛情，南歐的風情通過音樂盡情展現。這一切都是在夢境一般的環境中鋪陳開來的。那種慵懶的夢幻的情節發展，在抒情的音樂中緩緩綻開的心靈悸動，都細膩到可以揉碎攤開在手掌中觀看的程度，這樣的細膩，正是義大利名導演盧卡．格達戈尼諾（Luca Guadagnino，1971-）的風格。各種若即若離的試探，淡淡渲染開來的真情，無法抗拒的分離帶來的痛苦，以及最後那個意料之中並因此而更加震撼的結局。所有刻畫內心的種種動作，語言和表情，經由演員出神入化的演繹，變成了一首詩。整個電影就是一首詩的節奏，這個節奏在夢中連綿不絕。在這個夢境中，每個角色又都那麼真切。這就像從朦朧的背景中逐漸浮現出來的雕像，氣氛和人物完全融為一體。我本來覺得，主角提摩西．夏勒梅（Timothée Chalamet，1995-）應當贏得奧斯卡最佳男演員小金人的，因為他的表演是那麼傑出，讓人看到一顆新星的冉冉升起。最後那幾分鐘的哭泣，可以說是達到了演技和整個故事的高潮。「以你的名字呼喚我」，這不僅是Elio和Oliver之間愛的密碼，也是這個夢幻故事最大的亮點，所謂浪漫，在這樣的小小的遊戲中展現得淋漓盡致，矜持含蓄又熱情奔放。電影中並沒有太多關於性愛的直接描寫，但是點到為止的功力，在桃子的暗喻中盡情地發揮。因此正如很多人所說，這部電影的表面是寫同志之間的愛情，但是它之所以打動人，就在於其意境，意境超越了性別的框架。而另一個亮點，就是父子談話那最令人感動的一幕中，父親的那一席話：「you had a beautiful friendship",maybe more than a friendship…if there is pain
2018,3,5,揭敘利亞內戰面紗 《阿勒坡最後的男人》攻奧遭阻攔,紀錄片《阿勒坡最後的男人》揭開敘利亞內戰面紗，導演盼真相被大眾看見。入圍奧斯卡最佳紀錄片的《阿勒坡最後的男人》揭開敘利亞內戰面紗，該片講述自2011年起敘利亞爆發內戰，總統阿薩德聯合俄軍持續空襲阿勒坡，當地人民於是自發組成「白盔部隊」保衛家鄉，導演菲拉斯法耶德不顧生命危險，扛著攝影機跟著轟炸跑，以白盔部隊3位創辦人的視角出發，帶領觀眾目睹阿勒坡圍城戰下的荒涼廢墟以及人道問題。奧斯卡頒獎典禮今登場，但就在10天前劇組欲前往洛杉磯出席典禮時，敘利亞政府拒絕給予片中主角穆罕默德護照，也發生了製作人卡里姆阿貝德入境美國遭拒簽的事件，為此導演菲拉斯發聲明表示，那些握有權力的人試圖阻止人們訴說真相，也呼籲藝術家們聯合起來「為真相而戰」；該片已在「Giloo紀實影音」上映。,自由時報
2018,3,8,#MeToo 第三波婦運時候到了,去年底到今年初是令女性主義者振奮的一季，「我也是（性騷擾受害者）」運動（#MeToo），透過媒體和網路，從美國擴展到全球，成為全球化群眾運動。各行各業的女人，包括知名藝人、大學教授、矽谷工程師、農場工人、旅館服務生、神職人員陸續站了出來，訴說自己被騷擾或被性侵的經驗。著名的導演、政治人物、多位大公司主管權威不再，中箭落馬，聲名掃地。第三波婦運，由影視界的女星們擔綱演出，藉著金球獎和奧斯卡頒獎盛會向全世界傳達拒絕做第二性的訊息。今年一月一日好萊塢女明星們更集資發起「時候到了」（Time's  Up）運動，協助和保護低職等、貧窮、孤立無援、獨自工作的女人、男人、跨性別者進行法律訴訟，爭取合理的工作環境和人性尊嚴，到現在已經募集到兩千萬美金和兩百位義務律師。美國電影明星艾希莉．賈德廿年前被名導演溫斯坦性騷擾之後並沒有保持沉默，但也沒有人在意，大家都告訴她這是公開的祕密，要工作就得忍受。直到去年十月紐約時報和紐約人雜誌相繼大幅報導她和其他幾位女星的故事後，鼓舞了其他女人。不但有數十位影劇工作者站出來指控這位導演性騷擾和性侵害，其他的演藝工作者、採草莓女工、優步（Uber）公司工程師…從歐洲到亞洲成千上萬的女性也紛紛揭開了心頭的陰影，發出了聲音。一九六〇年代中期以前，男人吃豆腐或性侵犯女人幾乎可謂男人與生俱來的權利，反倒是被侵害的女人害怕名聲受損而忍氣吞聲、眼淚往肚裡流。十九世紀以來第一波婦女運動著重爭取公領域與男人相同的權利，例如就學、就業、參政等，尚未挑戰男性至上的父權文化和男人對女人身體的占有權。直到廿世紀中第二波婦運展開後，其中的激進分子才開始公開討論男人對女人無處不在的支配和控制，尤其在身體和性方面。她們發現只獲得投票權和工作權等平等權利不夠，更需改變的是無所不在的支配和屈從的權力關係。她們想反抗，卻沒有途徑、沒有語言、更沒有自信，必須透過自覺團體肯定彼此的感受，才滙聚改變的力量，找到願景，她們想像中的世界沒有宰制和屈從、沒有歧視。一九七五年康乃爾大學的女職員們組織聲援一位被上司性騷擾的女同事，她們聚在一起談各自不愉快的職場經驗，卻找不到現成的辭彙，最後想出了「性騷擾」一詞。到現在已將近半世紀，從概念的誕生、到法律的制定通過、到政策的執行落實，是許多女性主義者無止盡的討論、工作、行動，不計回報的付出，其間還得時時忍受嘲諷和反撲，甚至生活困頓、精神崩潰。半個世紀過去了，當年那些激情、勇敢的女青年至今若尚未離開人世，也都垂垂老矣。當數以萬計受壓迫的女人終於公開站出來，手拉著手，控訴壓迫者時，激進女性主義所追求的沒有謊言、沒有壓迫的世界或許終有一天會到來。,聯合報
